Qty,MPN,Description,Manufacturer,UnitCost_USD,ComponentID
1.0,RP2040,RP2040 Dual-Core ARM Cortex-M0+ MCU,Raspberry Pi Ltd,1.0,RP2040
1.0,SSD1306,SSD1306 OLED Display Controller,Solomon Systech,5.0,SSD1306
1.0,LTST-C150GKT,Green Status LED 0603,Lite-On,0.05,LTST_C150GKT
1.0,USB-C-CONN,USB Type-C Receptacle Connector,Generic,0.6,USB_C_CONN
1.0,W25Q16JVSSIQ,W25Q16JVSSIQ 16Mbit QSPI NOR Boot Flash,Winbond,0.3,W25Q16JVSSIQ
1.0,BSS138,BSS138 N-Channel MOSFET Level Shifter,ON Semiconductor,0.05,BSS138
1.0,CONN-SWD-2x5,ARM SWD 2x5 1.27mm Debug Header,Generic,0.5,CONN_SWD_2X5
1.0,RC0402FR-072K2L,2.2kΩ resistor — i2c pullup sda i2c0,,0.01,R1
1.0,RC0402FR-072K2L,2.2kΩ resistor — i2c pullup scl i2c0,,0.01,R2
1.0,GRM155R71C104KA88D,100nF capacitor — decoupling vdd RP2040,,0.02,C1
1.0,GRM155R71C104KA88D,100nF capacitor — decoupling vdd SSD1306,,0.02,C2
1.0,GRM155R71C104KA88D,100nF capacitor — decoupling vdd LTST C150GKT,,0.02,C3
1.0,GRM155R71C104KA88D,100nF capacitor — decoupling vdd USB C CONN,,0.02,C4
1.0,GRM188R61A106KE69D,10uF capacitor — bulk cap VIN 5V,,0.05,C5
1.0,GRM188R61A106KE69D,10uF capacitor — bulk cap 3V3 REG,,0.05,C6
1.0,GRM188R61A106KE69D,10uF capacitor — ldo input cap U LDO1,,0.05,C7
1.0,GRM188R61A106KE69D,10uF capacitor — ldo output bulk U LDO1,,0.05,C8
1.0,GRM155R71C104KA88D,100nF capacitor — ldo output noise U LDO1,,0.02,C9
1.0,RC0402FR-07330RL,330Ω resistor — led series LTST C150GKT,,0.01,R3
1.0,RC0402FR-0710KL,10kΩ resistor — reset pullup RUN,,0.01,BOOT_R1
1.0,GRM155R71C104KA88D,100nF capacitor — reset filter RUN,,0.02,BOOT_C1
1.0,RC0402FR-0710KL,10kΩ resistor — boot pullup QSPI SS,,0.01,BOOT_R2
1.0,HC49-12MHZ,12MHz crystal — main crystal 12mhz,,0.25,CLK_Y1
1.0,GRM1555C1H120GA01D,20pF capacitor — crystal load cap XIN,,0.02,CLK_C1
1.0,GRM1555C1H120GA01D,20pF capacitor — crystal load cap XOUT,,0.02,CLK_C2
1.0,RC0402FR-0710KL,10kΩ resistor — levelshift pullup LTST-C150GKT 3.3V,,0.01,LS_R1
1.0,RC0402FR-0710KL,10kΩ resistor — levelshift pullup LTST-C150GKT 2.1V,,0.01,LS_R2
1.0,RC0402FR-0710KL,10kΩ resistor — levelshift pullup USB-C-CONN 3.3V,,0.01,LS_R3
1.0,RC0402FR-0710KL,10kΩ resistor — levelshift pullup USB-C-CONN 5.0V,,0.01,LS_R4
1.0,RC0402FR-0733RL,33Ω resistor — spi sck series qspi boot,,0.01,BP_R1
1.0,RC0402FR-0710KL,10kΩ resistor — spi cs pullup W25Q16JVSSIQ,,0.01,BP_R2
1.0,RC0402FR-075K1L,5.1kΩ resistor — usbc cc1 pulldown,,0.01,CC_R1
1.0,RC0402FR-075K1L,5.1kΩ resistor — usbc cc2 pulldown,,0.01,CC_R2
1.0,,10µFF cap — mcu mandatory Bulk decoupling for IO supply,,0.02,MC_C1
1.0,,1µFF cap — mcu mandatory On-chip regulator output decoupling (man,,0.02,MC_C2
1.0,,1kΩΩ resistor — mcu mandatory RP2040 HW Guide: 1kΩ between XIN and GND,,0.02,MC_R1
1.0,,27ΩΩ resistor — mcu mandatory USB D+/D- series resistors (2× required),,0.02,MC_R2
1.0,AMS1117-3.3,"LDO Voltage Regulator VIN_5V→3V3_REG (5V→3.3V, 800mA max)",Advanced Monolithic Systems,0.3,U_LDO1
